name,image,role,heading,text
Sebastian P,,Java Developer,"musze powiedzieć, że super - jestem mega zadowolony","Siema ;) Na wstępie chciałem powiedzieć , że skończyłem właśnie kurs współbieżności i musze powiedzieć, że super - jestem mega zadowolony ;) Widzialem, ze wyszedl ostatni modul szkoly springa czyli teraz rozumiem mikro serwisy ? ;) W kazdym razie na kazdy Twoj kurs zapisuje sie od razu ;)"
Uczestnik Kursu,,Java Developer,"Fajno że były zadania domowe","Ogólnie w większości dobrze dobrane przykłady w kodzie aby wytłumaczyć dane zagadnienie. Fajno że były zadania domowe, które wymagają od uczestników interakcji. Plus dla błędy początkujących jako podsumowanie."
Elżbieta Z,,Java Developer,"pozornie nudny temat przedstawiasz tak, że widać że Cię to kręci ","A tak ma marginesie powiem Ci jeśli już piszemy że prawdziwa pasję w przekazywaniu wiedzy odczulam w kursie z wielowatkowoscią. Może się mylę ale tam pozornie nudny temat przedstawiasz tak, że widać że Cię to kręci 😉"
